,Location,"Latitude, Longitude",Date,Name_en,Name_ko,Latitude,Longitude,Start_date,End_date,Full_Name_en,colors
156,Incheon,"37.456292, 126.709357",5/29/1920 - ,ChaMRS,차미리사,37.456292,126.709357,5/29/1920,,Cha Mi-ri-sa,"rgb(10, 93, 48)"
157,Anseong-si,"37.007616, 127.279738",3/7/1921 - 3/10/1921,ChaMRS,차미리사,37.007616,127.279738,3/7/1921,3/10/1921,Cha Mi-ri-sa,"rgb(10, 93, 48)"
158,Gimhae-si,"35.228597, 128.889317",4/25/1921 - 4/26/1921,ChaMRS,차미리사,35.228597,128.889317,4/25/1921,4/26/1921,Cha Mi-ri-sa,"rgb(10, 93, 48)"
159,"Busan, Dongnae-gu","35.204657, 129.083342",4/27/1921 - ,ChaMRS,차미리사,35.204657,129.083342,4/27/1921,,Cha Mi-ri-sa,"rgb(10, 93, 48)"
160,Changnyeong-gun,"35.536528, 128.495479",4/28/1921 - ,ChaMRS,차미리사,35.536528,128.495479,4/28/1921,,Cha Mi-ri-sa,"rgb(10, 93, 48)"
161,"Seoul, Cheongjin-dong","37.571368, 126.980074",5/1921 - ,ChaMRS,차미리사,37.571368,126.980074,5/1921,,Cha Mi-ri-sa,"rgb(10, 93, 48)"
162,Seoul ,"37.568827, 126.975805",7/9/1921 - ,ChaMRS,차미리사,37.568827,126.975805,7/9/1921,,Cha Mi-ri-sa,"rgb(10, 93, 48)"
163,"Seoul, Sungnyemun Gate","37.559978, 126.975302",9/29/1921 - ,ChaMRS,차미리사,37.559978,126.975302,9/29/1921,,Cha Mi-ri-sa,"rgb(10, 93, 48)"
164,Manchuria (Jirin?) ,"43.161312, 126.385495",9/1921 - 10/1921,ChaMRS,차미리사,43.161312,126.385495,9/1921,10/1921,Cha Mi-ri-sa,"rgb(10, 93, 48)"
165,Jeju ,"33.480799, 126.484932",9/1921 - 10/1921,ChaMRS,차미리사,33.480799,126.484932,9/1921,10/1921,Cha Mi-ri-sa,"rgb(10, 93, 48)"
166,"Seoul, Cheongjin-dong","37.571368, 126.980074",10/08/1921 - ,ChaMRS,차미리사,37.571368,126.980074,10/08/1921,,Cha Mi-ri-sa,"rgb(10, 93, 48)"
167,Icheon-si,"37.271888, 127.434654",10/27/1921 - 10/28/1921,ChaMRS,차미리사,37.271888,127.434654,10/27/1921,10/28/1921,Cha Mi-ri-sa,"rgb(10, 93, 48)"
168,Cheongyang-gun,"36.450091, 126.803619",6/17/1922 - 6/18/1922,ChaMRS,차미리사,36.450091,126.803619,6/17/1922,6/18/1922,Cha Mi-ri-sa,"rgb(10, 93, 48)"
169,Gimcheon-si,"36.139538, 128.114114",9/21/1923 - 9/22/1923,ChaMRS,차미리사,36.139538,128.114114,9/21/1923,9/22/1923,Cha Mi-ri-sa,"rgb(10, 93, 48)"
170,"Seoul, Anguk-dong ","37.578093, 126.983199",12/20/1924 - ,ChaMRS,차미리사,37.578093,126.983199,12/20/1924,,Cha Mi-ri-sa,"rgb(10, 93, 48)"
171,"Seoul, Anguk-dong ","37.577248, 126.983640",1/1/1946,ChaMRS,차미리사,37.577248,126.98364,1/1/1946,,Cha Mi-ri-sa,"rgb(10, 93, 48)"
172,Seoul ,"37.568827, 126.975805",1955-,ChaMRS,차미리사,37.568827,126.975805,1955,,Cha Mi-ri-sa,"rgb(10, 93, 48)"
173,Seoul,"37.577709, 126.967836",08/30/1897,YomSS,염상섭,37.577709,126.967836,08/30/1897,,Yeom Sang-seob,"rgb(11, 187, 139)"
174,Seoul,"37.766849, 128.886451",09/1907,YomSS,염상섭,37.766849,128.886451,09/1907,,Yeom Sang-seob,"rgb(11, 187, 139)"
175,Seoul,"37.573987, 126.980443",1911-,YomSS,염상섭,37.573987,126.980443,1911,,Yeom Sang-seob,"rgb(11, 187, 139)"
176,Japan,"35.710321, 139.730458",09/12/1911,YomSS,염상섭,35.710321,139.730458,09/12/1911,,Yeom Sang-seob,"rgb(11, 187, 139)"
177,Seoul ,"37.559634, 126.853309",1913-,YomSS,염상섭,37.559634,126.853309,1913,,Yeom Sang-seob,"rgb(11, 187, 139)"
178,Kyoto,"35.011399, 135.767822",1918-,YomSS,염상섭,35.011399,135.767822,1918,,Yeom Sang-seob,"rgb(11, 187, 139)"
179,Tokyo,"35.649191, 139.743002",1918-,YomSS,염상섭,35.649191,139.743002,1918,,Yeom Sang-seob,"rgb(11, 187, 139)"
180,Osaka,"34.693352, 135.502196",1919-,YomSS,염상섭,34.693352,135.502196,1919,,Yeom Sang-seob,"rgb(11, 187, 139)"
181,Seoul,"37.569822, 126.978090",1920-,YomSS,염상섭,37.569822,126.97809,1920,,Yeom Sang-seob,"rgb(11, 187, 139)"
182,Chongju,"39.697895, 125.205605",1920-,YomSS,염상섭,39.697895,125.205605,1920,,Yeom Sang-seob,"rgb(11, 187, 139)"
183,Seoul,"37.573232, 126.983447",1924-,YomSS,염상섭,37.573232,126.983447,1924,,Yeom Sang-seob,"rgb(11, 187, 139)"
184,Seoul,"37.568606, 126.975722",1924-,YomSS,염상섭,37.568606,126.975722,1924,,Yeom Sang-seob,"rgb(11, 187, 139)"
185,Changchun,"43.814266, 125.311814",1936-,YomSS,염상섭,43.814266,125.311814,1936,,Yeom Sang-seob,"rgb(11, 187, 139)"
186,Seoul,"37.600484, 127.023679",1946-,YomSS,염상섭,37.600484,127.023679,1946,,Yeom Sang-seob,"rgb(11, 187, 139)"
187,Seoul,"37.588596, 126.993586",1947-,YomSS,염상섭,37.588596,126.993586,1947,,Yeom Sang-seob,"rgb(11, 187, 139)"
188,Seoul ,"37.622494, 126.891191",1953-,YomSS,염상섭,37.622494,126.891191,1953,,Yeom Sang-seob,"rgb(11, 187, 139)"
189,Seoul,"37.549705, 126.981590",1954- ,YomSS,염상섭,37.549705,126.98159,1954,,Yeom Sang-seob,"rgb(11, 187, 139)"
190,Seoul,"37.619667, 127.021053",1961-,YomSS,염상섭,37.619667,127.021053,1961,,Yeom Sang-seob,"rgb(11, 187, 139)"
191,Seoul,"37.590976, 127.003430",1962-,YomSS,염상섭,37.590976,127.00343,1962,,Yeom Sang-seob,"rgb(11, 187, 139)"
192,Seoul,"37.590976, 127.003430",03/14/1963,YomSS,염상섭,37.590976,127.00343,03/14/1963,,Yeom Sang-seob,"rgb(11, 187, 139)"
193,Changyon,"38.252737, 125.091362",09/02/1912,NohCHM,노천명,38.252737,125.091362,09/02/1912,,No Chun-myeong,"rgb(9, 161, 161)"
194,Seoul,"37.581592, 126.971997",1920-,NohCHM,노천명,37.581592,126.971997,1920,,No Chun-myeong,"rgb(9, 161, 161)"
195,Seoul,"37.581592, 126.971997",1926-,NohCHM,노천명,37.581592,126.971997,1926,,No Chun-myeong,"rgb(9, 161, 161)"
196,Seoul,"37.561858, 126.946808",1930-,NohCHM,노천명,37.561858,126.946808,1930,,No Chun-myeong,"rgb(9, 161, 161)"
197,Seoul,"37.572697, 126.983394",1934-,NohCHM,노천명,37.572697,126.983394,1934,,No Chun-myeong,"rgb(9, 161, 161)"
198,Jilin ,"42.784490, 129.444954",1935- ,NohCHM,노천명,42.78449,129.444954,1935,,No Chun-myeong,"rgb(9, 161, 161)"
199,Seoul ,"37.577141, 126.983583",1938-,NohCHM,노천명,37.577141,126.983583,1938,,No Chun-myeong,"rgb(9, 161, 161)"
200,Seoul,"37.579581, 126.976962",1943-,NohCHM,노천명,37.579581,126.976962,1943,,No Chun-myeong,"rgb(9, 161, 161)"
201,Seoul,"37.580471, 126.967126",1945-,NohCHM,노천명,37.580471,126.967126,1945,,No Chun-myeong,"rgb(9, 161, 161)"
202,Seoul ,"37.578513, 126.969041",1949-,NohCHM,노천명,37.578513,126.969041,1949,,No Chun-myeong,"rgb(9, 161, 161)"
203,Busan ,"35.223822, 128.949470",1951-,NohCHM,노천명,35.223822,128.94947,1951,,No Chun-myeong,"rgb(9, 161, 161)"
204,Seoul,"37.549807, 126.981419",1955-,NohCHM,노천명,37.549807,126.981419,1955,,No Chun-myeong,"rgb(9, 161, 161)"
205,Seoul,"37.588116, 127.065364",1957-,NohCHM,노천명,37.588116,127.065364,1957,,No Chun-myeong,"rgb(9, 161, 161)"
206,Seoul ,"37.578513, 126.969041",1957-,NohCHM,노천명,37.578513,126.969041,1957,,No Chun-myeong,"rgb(9, 161, 161)"
207,Songhwa,"38.344845, 125.108967",04/20/1906-1910,KangKA,강경애,38.344845,125.108967,04/20/1906,1910,Kang Kyung-ae,"rgb(7, 121, 163)"
208,Changyon,"38.25083, 125.09611",1910-1921,KangKA,강경애,38.25083,125.09611,1910,1921,Kang Kyung-ae,"rgb(7, 121, 163)"
209,Pyongyang,"39.038863, 125.762656",1921-1923,KangKA,강경애,39.038863,125.762656,1921,1923,Kang Kyung-ae,"rgb(7, 121, 163)"
210,"Seoul, Cheongjin-dong","37.571346, 126.980106",1923-1924,KangKA,강경애,37.571346,126.980106,1923,1924,Kang Kyung-ae,"rgb(7, 121, 163)"
211,Changyon,"38.25083, 125.09611",09/1924-1925,KangKA,강경애,38.25083,125.09611,09/1924,1925,Kang Kyung-ae,"rgb(7, 121, 163)"
212,"Jirin, Longjing","42.77139, 129.42333",1925-1926,KangKA,강경애,42.77139,129.42333,1925,1926,Kang Kyung-ae,"rgb(7, 121, 163)"
213,Changyon,"38.25083, 125.09611",1926-1931,KangKA,강경애,38.25083,125.09611,1926,1931,Kang Kyung-ae,"rgb(7, 121, 163)"
214,Incheon,"37.456292, 126.709357",1931-,KangKA,강경애,37.456292,126.709357,1931,,Kang Kyung-ae,"rgb(7, 121, 163)"
215,"Jirin, Longjing","42.77139, 129.42333",06/1931-1932,KangKA,강경애,42.77139,129.42333,06/1931,1932,Kang Kyung-ae,"rgb(7, 121, 163)"
216,Seoul ,"37.565562, 126.977178",1932-,KangKA,강경애,37.565562,126.977178,1932,,Kang Kyung-ae,"rgb(7, 121, 163)"
217,"Jirin, Longjing","42.77139, 129.42333",09/1932-1939,KangKA,강경애,42.77139,129.42333,09/1932,1939,Kang Kyung-ae,"rgb(7, 121, 163)"
218,Changyon,"42.77139, 129.42333",1939-1940,KangKA,강경애,42.77139,129.42333,1939,1940,Kang Kyung-ae,"rgb(7, 121, 163)"
219,Seoul ,"37.565562, 126.977178",02/1940-1944,KangKA,강경애,37.565562,126.977178,02/1940,1944,Kang Kyung-ae,"rgb(7, 121, 163)"
220,"Yeongcheon, Changgu-dong","35.967491, 128.930987",5/20/1908,PaekSA,백신애,35.967491,128.930987,5/20/1908,,Baek Shin-ae,"rgb(1, 60, 130)"
221,"Yeongcheon, Gyochon-dong","35.969566, 128.928231",5/1/1919,PaekSA,백신애,35.969566,128.928231,5/1/1919,,Baek Shin-ae,"rgb(1, 60, 130)"
222,"Daegu, Seomunno 1(il)-ga","35.872638, 128.590079",9/1/1920,PaekSA,백신애,35.872638,128.590079,9/1/1920,,Baek Shin-ae,"rgb(1, 60, 130)"
223,"Daegu, Seomunno 1(il)-ga","35.872638, 128.590079",10/1921,PaekSA,백신애,35.872638,128.590079,10/1921,,Baek Shin-ae,"rgb(1, 60, 130)"
224,"Yeongcheon, Gyochon-dong","35.969566, 128.928231",3/1/1923-3/25/1923,PaekSA,백신애,35.969566,128.928231,3/1/1923,3/25/1923,Baek Shin-ae,"rgb(1, 60, 130)"
225,"Daegu, Sangyeok-dong","35.890313, 128.611296",4/1/1923,PaekSA,백신애,35.890313,128.611296,4/1/1923,,Baek Shin-ae,"rgb(1, 60, 130)"
226,"Yeongcheon, Gyochon-dong","35.969566, 128.928231",1924-,PaekSA,백신애,35.969566,128.928231,1924,,Baek Shin-ae,"rgb(1, 60, 130)"
227,"Gyeongsan, Jain-myeon","35.821686, 128.824312",1925-,PaekSA,백신애,35.821686,128.824312,1925,,Baek Shin-ae,"rgb(1, 60, 130)"
228,"Seoul, Cheongjin-dong","37.571404, 126.980043",1/5/1926,PaekSA,백신애,37.571404,126.980043,1/5/1926,,Baek Shin-ae,"rgb(1, 60, 130)"
229,Seoul ,"37.567739, 126.979238",2/20/1926,PaekSA,백신애,37.567739,126.979238,2/20/1926,,Baek Shin-ae,"rgb(1, 60, 130)"
230,"Seoul, Guro ","37.495316, 126.887661",8/14/1926,PaekSA,백신애,37.495316,126.887661,8/14/1926,,Baek Shin-ae,"rgb(1, 60, 130)"
231,Vladivostok,"43.117510, 131.886824",가을/1926,PaekSA,백신애,43.11751,131.886824,가을/1926,,Baek Shin-ae,"rgb(1, 60, 130)"
232,Vladivostok,"43.117510, 131.886824",가을/1926,PaekSA,백신애,43.11751,131.886824,가을/1926,,Baek Shin-ae,"rgb(1, 60, 130)"
233,Tumen River ,"42.478764, 129.566553",?/1926,PaekSA,백신애,42.478764,129.566553,?/1926,,Baek Shin-ae,"rgb(1, 60, 130)"
234,Yeongcheon,"35.973332, 128.938367",10/1927,PaekSA,백신애,35.973332,128.938367,10/1927,,Baek Shin-ae,"rgb(1, 60, 130)"
235,Yeongcheon,"35.973332, 128.938367",1/1928-8/1928,PaekSA,백신애,35.973332,128.938367,1/1928,8/1928,Baek Shin-ae,"rgb(1, 60, 130)"
236,"Daegu, Yonggye-ri","35.809597, 128.622976",봄/1930,PaekSA,백신애,35.809597,128.622976,봄/1930,,Baek Shin-ae,"rgb(1, 60, 130)"
237,Tokyo,"35.690866, 139.697978",5/1930,PaekSA,백신애,35.690866,139.697978,5/1930,,Baek Shin-ae,"rgb(1, 60, 130)"
238,"Daegu, Yonggye-ri","35.809597, 128.622976",1932-,PaekSA,백신애,35.809597,128.622976,1932,,Baek Shin-ae,"rgb(1, 60, 130)"
239,"Daegu, Seongnae 2(i)-dong","35.876334, 128.593844",3/17/1933,PaekSA,백신애,35.876334,128.593844,3/17/1933,,Baek Shin-ae,"rgb(1, 60, 130)"
240,"Seoul, Jongno 2(i)-ga","37.570914, 126.985021",1/1936,PaekSA,백신애,37.570914,126.985021,1/1936,,Baek Shin-ae,"rgb(1, 60, 130)"
241,"Daegu, Banyawol ","35.866199, 128.713563",12/1936,PaekSA,백신애,35.866199,128.713563,12/1936,,Baek Shin-ae,"rgb(1, 60, 130)"
242,"Daegu, Yonggye-ri","35.809597, 128.622976",5/1938,PaekSA,백신애,35.809597,128.622976,5/1938,,Baek Shin-ae,"rgb(1, 60, 130)"
243,Qingdao,"36.069170, 120.379894",9/1938-10/15/1938,PaekSA,백신애,36.06917,120.379894,9/1938,10/15/1938,Baek Shin-ae,"rgb(1, 60, 130)"
244,Shanghai ,"31.234877, 121.476539",11/1938 ,PaekSA,백신애,31.234877,121.476539,11/1938 ,,Baek Shin-ae,"rgb(1, 60, 130)"
245,"Seoul, Nuha-dong ","37.579319, 126.968464",3/1939,PaekSA,백신애,37.579319,126.968464,3/1939,,Baek Shin-ae,"rgb(1, 60, 130)"
246,Seoul ,"37.567739, 126.979238",5/1939,PaekSA,백신애,37.567739,126.979238,5/1939,,Baek Shin-ae,"rgb(1, 60, 130)"
247,"Seoul, Yeongeon-dong","37.577749, 126.999876",5월 말/1939,PaekSA,백신애,37.577749,126.999876,5월 말/1939,,Baek Shin-ae,"rgb(1, 60, 130)"
248,"Seoul, Yeongeon-dong","37.577749, 126.999876",6/23/1939,PaekSA,백신애,37.577749,126.999876,6/23/1939,,Baek Shin-ae,"rgb(1, 60, 130)"
249,Seoul,"37.577942, 126.973068",10/25/1918,HanMS,한무숙,37.577942,126.973068,10/25/1918,,Han Mu-sook,"rgb(2, 26, 136)"
250,Busan,"35.112291, 128.967262",1936-,HanMS,한무숙,35.112291,128.967262,1936,,Han Mu-sook,"rgb(2, 26, 136)"
251,Seoul,"37.566035, 126.979248",1940-,HanMS,한무숙,37.566035,126.979248,1940,,Han Mu-sook,"rgb(2, 26, 136)"
252,Busan ,"35.178882, 129.073884",1951-,HanMS,한무숙,35.178882,129.073884,1951,,Han Mu-sook,"rgb(2, 26, 136)"
253,Seoul,"37.566035, 126.979248",1953-,HanMS,한무숙,37.566035,126.979248,1953,,Han Mu-sook,"rgb(2, 26, 136)"
254,Japan,"36.070896, 138.310393",1962-,HanMS,한무숙,36.070896,138.310393,1962,,Han Mu-sook,"rgb(2, 26, 136)"
255,Slovenia ,"46.368242, 14.114662",1965-,HanMS,한무숙,46.368242,14.114662,1965,,Han Mu-sook,"rgb(2, 26, 136)"
256,France ,"43.774282, 7.498047",1969-,HanMS,한무숙,43.774282,7.498047,1969,,Han Mu-sook,"rgb(2, 26, 136)"
257,Japan ,"35.011117, 135.768165",1971-,HanMS,한무숙,35.011117,135.768165,1971,,Han Mu-sook,"rgb(2, 26, 136)"
258,Jerusalem,"31.770438, 35.212399",1974-,HanMS,한무숙,31.770438,35.212399,1974,,Han Mu-sook,"rgb(2, 26, 136)"
259,Mexico City,"19.431750, -99.133925",1979-,HanMS,한무숙,19.43175,-99.133925,1979,,Han Mu-sook,"rgb(2, 26, 136)"
260,Hawaii,"21.305569, -157.858148",1979-,HanMS,한무숙,21.305569,-157.858148,1979,,Han Mu-sook,"rgb(2, 26, 136)"
261,America ,"38.831485, -77.311478",1980-,HanMS,한무숙,38.831485,-77.311478,1980,,Han Mu-sook,"rgb(2, 26, 136)"
262,America ,"42.377011, -71.116617",1987-,HanMS,한무숙,42.377011,-71.116617,1987,,Han Mu-sook,"rgb(2, 26, 136)"
263,Seoul ,"37.566584, 126.974442",1988-,HanMS,한무숙,37.566584,126.974442,1988,,Han Mu-sook,"rgb(2, 26, 136)"
264,"Mokpo, Juk-dong","34.792024, 126.383746",04/16/1903,PakHS,박화성,34.792024,126.383746,04/16/1903,,Park Hwa-seong,"rgb(29, 11, 205)"
265,"Mokpo, Yang-dong","34.796860, 126.380259",1907-,PakHS,박화성,34.79686,126.380259,1907,,Park Hwa-seong,"rgb(29, 11, 205)"
266,"Mokpo, Yang-dong","34.795459, 126.383514",1910-,PakHS,박화성,34.795459,126.383514,1910,,Park Hwa-seong,"rgb(29, 11, 205)"
267,Pyongyang,"39.038863, 125.762656",1912-,PakHS,박화성,39.038863,125.762656,1912,,Park Hwa-seong,"rgb(29, 11, 205)"
268,"Mokpo, Yang-dong","34.795459, 126.383514",1915-,PakHS,박화성,34.795459,126.383514,1915,,Park Hwa-seong,"rgb(29, 11, 205)"
269,"Seoul, Cheonyeon-dong","37.573504, 127.000017",1916-,PakHS,박화성,37.573504,127.000017,1916,,Park Hwa-seong,"rgb(29, 11, 205)"
270,"Seoul, Taepyeongno 1(il)-ga","37.568088, 126.976562",1916-,PakHS,박화성,37.568088,126.976562,1916,,Park Hwa-seong,"rgb(29, 11, 205)"
271,"Seoul, Taepyeongno 1(il)-ga","37.568088, 126.976562",03/1918,PakHS,박화성,37.568088,126.976562,03/1918,,Park Hwa-seong,"rgb(29, 11, 205)"
272,Cheonan,"36.813317, 127.151557",1918-,PakHS,박화성,36.813317,127.151557,1918,,Park Hwa-seong,"rgb(29, 11, 205)"
273,Asan,"36.854227, 126.953267",1918-,PakHS,박화성,36.854227,126.953267,1918,,Park Hwa-seong,"rgb(29, 11, 205)"
274,"Mokpo, Yang-dong","34.795973, 126.380091",03/1919-,PakHS,박화성,34.795973,126.380091,03/1919,,Park Hwa-seong,"rgb(29, 11, 205)"
275,Kwangju,"35.167366, 126.920516",1920-,PakHS,박화성,35.167366,126.920516,1920,,Park Hwa-seong,"rgb(29, 11, 205)"
276,Yeong-gwang,"35.273643, 126.518246",1921-,PakHS,박화성,35.273643,126.518246,1921,,Park Hwa-seong,"rgb(29, 11, 205)"
277,"Seoul, Taepyeongno 1(il)-ga","37.568088, 126.976562",1925-,PakHS,박화성,37.568088,126.976562,1925,,Park Hwa-seong,"rgb(29, 11, 205)"
278,Tokyo,"35.717156, 139.720454",04/1926 ,PakHS,박화성,35.717156,139.720454,04/1926 ,,Park Hwa-seong,"rgb(29, 11, 205)"
279,"Seoul, Chebu-dong","37.577740, 126.970712",06/1928,PakHS,박화성,37.57774,126.970712,06/1928,,Park Hwa-seong,"rgb(29, 11, 205)"
280,"Tokyo, Hongo","35.704639, 139.759668",3/1929-5/1929,PakHS,박화성,35.704639,139.759668,3/1929,5/1929,Park Hwa-seong,"rgb(29, 11, 205)"
281,Mokpo ,"34.796079, 126.378266",03/1931,PakHS,박화성,34.796079,126.378266,03/1931,,Park Hwa-seong,"rgb(29, 11, 205)"
282,Gyeongju,"35.856026, 129.224438",1933-,PakHS,박화성,35.856026,129.224438,1933,,Park Hwa-seong,"rgb(29, 11, 205)"
283,Buyeo,"36.273377, 126.907664",1933-,PakHS,박화성,36.273377,126.907664,1933,,Park Hwa-seong,"rgb(29, 11, 205)"
284,Longjing ,"42.767579, 129.412985",07/1936-,PakHS,박화성,42.767579,129.412985,07/1936,,Park Hwa-seong,"rgb(29, 11, 205)"
285,Mokpo ,"34.796079, 126.378266",05/1938,PakHS,박화성,34.796079,126.378266,05/1938,,Park Hwa-seong,"rgb(29, 11, 205)"
286,Jeju-do,"33.486710, 126.506532",1938-,PakHS,박화성,33.48671,126.506532,1938,,Park Hwa-seong,"rgb(29, 11, 205)"
287,Mokpo ,"34.794662, 126.391706",1938-,PakHS,박화성,34.794662,126.391706,1938,,Park Hwa-seong,"rgb(29, 11, 205)"
288,Mt Kumgang,"38.659233, 128.111570","07/1943, 10/1943",PakHS,박화성,38.659233,128.11157,"07/1943, 10/1943",,Park Hwa-seong,"rgb(29, 11, 205)"
289,Mokpo ,"34.794662, 126.391706",02/1947,PakHS,박화성,34.794662,126.391706,02/1947,,Park Hwa-seong,"rgb(29, 11, 205)"
290,"Seoul, Sagan-dong","37.577089, 126.980190",1948-,PakHS,박화성,37.577089,126.98019,1948,,Park Hwa-seong,"rgb(29, 11, 205)"
291,Mokpo ,"34.794662, 126.391706",1950-,PakHS,박화성,34.794662,126.391706,1950,,Park Hwa-seong,"rgb(29, 11, 205)"
292,Mokpo,"34.784903, 126.380129",1953-,PakHS,박화성,34.784903,126.380129,1953,,Park Hwa-seong,"rgb(29, 11, 205)"
293,Palpan-dong,"37.582849, 126.980711",1955-,PakHS,박화성,37.582849,126.980711,1955,,Park Hwa-seong,"rgb(29, 11, 205)"
294,"Seoul, Myeong-dong ","37.563345, 126.984548",1956-,PakHS,박화성,37.563345,126.984548,1956,,Park Hwa-seong,"rgb(29, 11, 205)"
295,"Seoul, Gwonnong-dong","37.577391, 126.991725",1957-,PakHS,박화성,37.577391,126.991725,1957,,Park Hwa-seong,"rgb(29, 11, 205)"
296,"Seoul, Inui-dong ","37.572169, 126.997437",1957-,PakHS,박화성,37.572169,126.997437,1957,,Park Hwa-seong,"rgb(29, 11, 205)"
297,"Seoul, Jeongneung-dong ","37.614576, 127.000369",1958- ,PakHS,박화성,37.614576,127.000369,1958,,Park Hwa-seong,"rgb(29, 11, 205)"
298,Cheonan,"36.756806, 127.315526",1959-,PakHS,박화성,36.756806,127.315526,1959,,Park Hwa-seong,"rgb(29, 11, 205)"
299,"Seoul, Hawolgok-dong","37.604143, 127.040942",1964-,PakHS,박화성,37.604143,127.040942,1964,,Park Hwa-seong,"rgb(29, 11, 205)"
300,Taiwan ,"23.833908, 121.017196",1965-,PakHS,박화성,23.833908,121.017196,1965,,Park Hwa-seong,"rgb(29, 11, 205)"
301,New York ,"40.712485, -74.002980",1966-,PakHS,박화성,40.712485,-74.00298,1966,,Park Hwa-seong,"rgb(29, 11, 205)"
302,Tokyo ,"35.689473, 139.691204",1968-,PakHS,박화성,35.689473,139.691204,1968,,Park Hwa-seong,"rgb(29, 11, 205)"
303,Osaka,"34.693352, 135.502883",1968-,PakHS,박화성,34.693352,135.502883,1968,,Park Hwa-seong,"rgb(29, 11, 205)"
304,Kyoto,"35.011398, 135.768852",1968-,PakHS,박화성,35.011398,135.768852,1968,,Park Hwa-seong,"rgb(29, 11, 205)"
305,Nara ,"34.684851, 135.804901",1968-,PakHS,박화성,34.684851,135.804901,1968,,Park Hwa-seong,"rgb(29, 11, 205)"
306,"Seoul, Yeongeon-dong ","37.579865, 126.998978",1969-,PakHS,박화성,37.579865,126.998978,1969,,Park Hwa-seong,"rgb(29, 11, 205)"
307,Daecheon,"36.305732, 126.516049",1975-,PakHS,박화성,36.305732,126.516049,1975,,Park Hwa-seong,"rgb(29, 11, 205)"
